id,project_id,reference_month,generation_type,generation_value_kwh,generation_version_control_id,created_at,updated_at
1,PRJ_001,2022-04-01,PVSyst,"6.380,68",GVC_0001,2022-04-06 10:00,2022-04-07 15:00
2,PRJ_001,2022-05-01,PVSyst,"5.964,55",GVC_0001,2022-05-06 10:00,2022-05-07 15:00
3,PRJ_001,2022-06-01,PVSyst,"5.548,41",GVC_0001,2022-06-06 10:00,2022-06-07 15:00
4,PRJ_001,2022-07-01,PVSyst,"5.825,83",GVC_0001,2022-07-06 10:00,2022-07-07 15:00
5,PRJ_001,2022-08-01,PVSyst,"6.450,03",GVC_0001,2022-08-06 10:00,2022-08-07 15:00
6,PRJ_001,2022-09-01,PVSyst,"6.935,52",GVC_0001,2022-09-06 10:00,2022-09-07 15:00
7,PRJ_001,2022-10-01,PVSyst,"7.490,36",GVC_0001,2022-10-06 10:00,2022-10-07 15:00
8,PRJ_001,2022-11-01,PVSyst,"7.837,14",GVC_0001,2022-11-06 10:00,2022-11-07 15:00
9,PRJ_001,2022-12-01,PVSyst,"8.530,69",GVC_0001,2022-12-06 10:00,2022-12-07 15:00
10,PRJ_001,2023-01-01,PVSyst,"7.143,58",GVC_0001,2023-01-06 10:00,2023-01-07 15:00
11,PRJ_001,2023-02-01,PVSyst,"6.796,81",GVC_0001,2023-02-06 10:00,2023-02-07 15:00
12,PRJ_001,2023-03-01,PVSyst,"6.935,52",GVC_0001,2023-03-06 10:00,2023-03-07 15:00
13,PRJ_001,2023-04-01,PVSyst,"6.348,77",GVC_0001,2023-04-06 10:00,2023-04-07 15:00
14,PRJ_001,2023-05-01,PVSyst,"5.934,72",GVC_0001,2023-05-06 10:00,2023-05-07 15:00
15,PRJ_001,2023-06-01,PVSyst,"5.520,67",GVC_0001,2023-06-06 10:00,2023-06-07 15:00
16,PRJ_001,2023-07-01,PVSyst,"5.796,71",GVC_0001,2023-07-06 10:00,2023-07-07 15:00
